iter	RMSE
0	2.71280421
1	2.652256189
2	2.594822367
3	2.540245914
4	2.488189394
5	2.438796694
6	2.392010825
7	2.347498088
8	2.305294635
9	2.265420447
10	2.227486645
11	2.191644725
12	2.157601924
13	2.125304147
14	2.094952957
15	2.066320635
16	2.039191142
17	2.013382958
18	1.989292015
19	1.966607567
20	1.945229996
21	1.924850524
22	1.905640512
23	1.887676413
24	1.87070269
25	1.854927888
26	1.840169439
27	1.826294463
28	1.813158836
29	1.800622202
30	1.788625844
31	1.777872932
32	1.767420196
33	1.757851094
34	1.748736384
35	1.740078195
36	1.731742016
37	1.72404984
38	1.716860472
39	1.710295987
40	1.704212285
41	1.698563474
42	1.693215125
43	1.688159832
44	1.68328028
45	1.678582764
46	1.674317203
47	1.670145987
48	1.666371306
49	1.662583829
50	1.659241852
51	1.656274062
52	1.653351423
53	1.650723985
54	1.648051271
55	1.645703925
56	1.643188844
57	1.641035329
58	1.638790509
59	1.636897408
60	1.634781841
61	1.633090826
62	1.631581669
63	1.629821114
64	1.628319564
65	1.626860187
66	1.625400766
67	1.624206078
68	1.623072828
69	1.622054468
70	1.621085532
71	1.620029284
72	1.619148165
73	1.618144102
74	1.61737123
75	1.616571164
76	1.615818455
77	1.614928437
78	1.614245576
79	1.613537802
80	1.612387063
81	1.611585048
82	1.610998896
83	1.610412981
84	1.609445843
85	1.608873818
86	1.608226046
87	1.607813993
88	1.607316602
89	1.606820866
90	1.606383267
91	1.605938986
92	1.605500921
93	1.605134278
94	1.604601104
95	1.604196275
96	1.603856599
97	1.603381626
98	1.602896915
99	1.602413192
100	1.601814533
101	1.601534255
102	1.60111753
103	1.600831228
104	1.60042484
105	1.600040076
106	1.599856783
107	1.599247018
108	1.598988183
109	1.598757568
110	1.598573976
111	1.598341407
112	1.598050818
113	1.597714232
114	1.597259047
115	1.59674054
116	1.596506413
117	1.59628705
118	1.595885197
119	1.595607901
120	1.595253488
121	1.595052254
122	1.59476099
123	1.594580129
124	1.594301086
125	1.594092514
126	1.593447171
127	1.593260002
128	1.593068782
129	1.592819362
130	1.592537121
131	1.592385674
132	1.592194273
133	1.591913671
134	1.591657906
135	1.591371957
136	1.591156606
137	1.590882369
138	1.590446478
139	1.590326518
140	1.590026389
141	1.58979036
142	1.589604361
143	1.589416511
144	1.589247008
145	1.588905889
146	1.588753334
147	1.588536407
148	1.588332568
149	1.588165848
150	1.588032749
151	1.587860657
152	1.587684045
153	1.587526718
154	1.587328626
155	1.587122189
156	1.586390327
157	1.586275405
158	1.58603981
159	1.58586712
160	1.585708162
161	1.585449791
162	1.585177318
163	1.584942859
164	1.584630932
165	1.584453349
166	1.584186592
167	1.584045129
168	1.583821898
169	1.583567427
170	1.583220188
171	1.582984827
172	1.582844941
173	1.582451003
174	1.582243701
175	1.582109874
176	1.581897856
177	1.581671106
178	1.581495258
179	1.581290588
180	1.581185255
181	1.580909749
182	1.580691899
183	1.580007274
184	1.579685861
185	1.579543381
186	1.579355179
187	1.579132896
188	1.578945258
189	1.578764963
190	1.57861419
191	1.578448745
192	1.578260105
193	1.578109668
194	1.577906094
195	1.577714241
196	1.577549316
197	1.577377386
198	1.577115193
199	1.576950359
200	1.576661436
201	1.576546267
202	1.576355478
203	1.576141994
204	1.575937398
205	1.575782741
206	1.575621996
207	1.575284079
208	1.574649413
209	1.574215106
210	1.574023342
211	1.573902823
212	1.573796919
213	1.573581625
214	1.573308252
215	1.573177669
216	1.572789859
217	1.572598075
218	1.572473904
219	1.57228732
220	1.571954311
221	1.571813443
222	1.57161915
223	1.571437167
224	1.571256088
225	1.57098524
226	1.570848217
227	1.570552773
228	1.5702916
229	1.570155829
230	1.570048978
231	1.569907553
232	1.569691263
233	1.569499023
234	1.569366811
235	1.569149288
236	1.569056342
237	1.568904868
238	1.568770212
239	1.568574616
240	1.568389808
241	1.568273877
242	1.568074974
243	1.567980342
244	1.567803499
245	1.567656231
246	1.567492412
247	1.567116104
248	1.566799081
249	1.566484701
250	1.566365923
251	1.566079146
252	1.565858846
253	1.565700642
254	1.56560045
255	1.565359344
256	1.564956826
257	1.564651211
258	1.564447125
259	1.564171768
260	1.56401254
261	1.56386507
262	1.563729205
263	1.56356451
264	1.563388717
265	1.562994836
266	1.562739066
267	1.562619615
268	1.562503023
269	1.562365335
270	1.562284623
271	1.562011521
272	1.56170471
273	1.561571294
274	1.561490154
275	1.561270603
276	1.561042408
277	1.560914291
278	1.560769244
279	1.56057381
280	1.560411032
281	1.560230382
282	1.560062133
283	1.55987686
284	1.559728378
285	1.559569163
286	1.559091264
287	1.55881908
288	1.558597987
289	1.55853892
290	1.558310325
291	1.558153297
292	1.558023543
293	1.557399421
294	1.557115038
295	1.556934939
296	1.556788199
297	1.55656067
298	1.556488218
299	1.556211686
300	1.556063165
301	1.555837865
302	1.555699431
303	1.555559816
304	1.555457258
305	1.555320425
306	1.555128356
307	1.554902376
308	1.554668416
309	1.55447237
310	1.554297809
311	1.554009897
312	1.553807688
313	1.55369059
314	1.553203085
315	1.552981738
316	1.552625162
317	1.552490889
318	1.552340451
319	1.552242753
320	1.552151291
321	1.551919336
322	1.551586561
323	1.551038573
324	1.550865344
325	1.550722951
326	1.550445234
327	1.550332415
328	1.550217868
329	1.550057207
330	1.549940218
331	1.54978711
332	1.549673617
333	1.54951376
334	1.54921409
335	1.548958156
336	1.548728538
337	1.54859862
338	1.548390697
339	1.54800732
340	1.547799317
341	1.547431527
342	1.547288975
343	1.547131533
344	1.546908456
345	1.54677956
346	1.546543666
347	1.546409256
348	1.546308284
349	1.546185527
350	1.546075844
351	1.545953303
352	1.545762108
353	1.545511873
354	1.545323523
355	1.545134993
356	1.544990269
357	1.544701719
358	1.544586363
359	1.544418842
360	1.544344408
361	1.544214435
362	1.544035733
363	1.543899771
364	1.543785375
365	1.543609292
366	1.543526501
367	1.542916299
368	1.542752522
369	1.542691357
370	1.542530697
371	1.542390911
372	1.542220324
373	1.541975877
374	1.54182897
375	1.541645828
376	1.541527257
377	1.541388637
378	1.541242932
379	1.541070645
380	1.540955646
381	1.540821771
382	1.540655727
383	1.540557209
384	1.540466312
385	1.540303847
386	1.540029129
387	1.539877788
388	1.539653661
389	1.539491347
390	1.539256618
391	1.539135423
392	1.538944089
393	1.538833575
394	1.538433565
395	1.538318053
396	1.538164576
397	1.537900187
398	1.537778255
399	1.537648515
400	1.537486146
401	1.537257573
402	1.536906807
403	1.536343411
404	1.536152518
405	1.536000244
406	1.535898588
407	1.535799055
408	1.535655659
409	1.53542129
410	1.535299082
