iter	Passed	Remaining
0	12	99900
1	26	107524
2	41	111441
3	54	109796
4	69	110951
5	81	108841
6	93	106784
7	107	107020
8	121	107551
9	133	106840
10	148	107637
11	160	106568
12	172	106125
13	186	106151
14	199	106301
15	210	105203
16	223	105151
17	237	105434
18	251	105848
19	265	105913
20	277	105443
21	293	106383
22	307	106661
23	321	106795
24	334	106553
25	348	106865
26	360	106394
27	372	106009
28	385	105828
29	398	105892
30	409	105260
31	421	104945
32	434	104825
33	449	105224
34	463	105418
35	475	105203
36	488	105202
37	503	105453
38	517	105583
39	529	105429
40	542	105255
41	558	105855
42	571	105737
43	585	105836
44	599	105989
45	610	105551
46	622	105403
47	635	105351
48	648	105304
49	660	104952
50	674	105104
51	688	105161
52	701	105161
53	714	105124
54	725	104785
55	740	105097
56	754	105087
57	769	105419
58	783	105396
59	796	105377
60	806	104991
61	819	104876
62	830	104625
63	839	104145
64	849	103744
65	862	103725
66	873	103410
67	888	103584
68	899	103444
69	909	102993
70	920	102797
71	930	102499
72	940	102178
73	949	101749
74	958	101275
75	969	101062
76	980	100838
77	989	100449
78	999	100247
79	1009	99932
80	1021	99823
81	1032	99739
82	1044	99585
83	1055	99443
84	1066	99302
85	1078	99288
86	1091	99310
87	1103	99210
88	1113	99016
89	1124	98830
90	1135	98672
91	1145	98435
92	1154	98164
93	1164	97983
94	1172	97570
95	1183	97402
96	1195	97433
97	1207	97335
98	1222	97585
99	1235	97612
100	1247	97539
101	1255	97201
102	1266	97128
103	1277	96976
104	1285	96690
105	1297	96630
106	1302	96116
107	1316	96223
108	1328	96179
109	1342	96261
110	1348	95834
111	1359	95733
112	1369	95580
113	1381	95573
114	1392	95486
115	1401	95246
116	1411	95122
117	1419	94820
118	1428	94620
119	1445	94908
120	1463	95268
121	1472	95073
122	1482	94921
123	1491	94752
124	1499	94465
125	1509	94322
126	1517	94100
127	1528	94023
128	1540	93974
129	1552	93994
130	1563	93937
131	1572	93714
132	1583	93690
133	1593	93535
134	1604	93477
135	1616	93447
136	1626	93332
137	1637	93275
138	1652	93460
139	1660	93241
140	1674	93357
141	1682	93101
142	1692	93015
143	1704	92992
144	1716	93010
145	1730	93114
146	1740	92970
147	1749	92818
148	1760	92750
149	1768	92532
150	1778	92448
151	1790	92425
152	1800	92345
153	1810	92264
154	1818	92025
155	1829	92004
156	1843	92080
157	1850	91864
158	1864	91947
159	1876	91950
160	1884	91758
161	1896	91762
162	1909	91812
163	1923	91892
164	1930	91692
165	1942	91648
166	1952	91602
167	1963	91523
